,id,artwork_name,artist_full_name,artist_first_name,artist_last_name,creation_year,century,source_url,image_url,collection_origins,artwork_type,school,original_id_in_collection,created_at,last_modified,omni_id,created_by_id,general_type,geocoded,color_pallete,dominant_color,palette_count
0,4ee8e28a-9df1-4af4-b9cc-c78a761c6b15,70 amx,xynphix,xynphix,xynphix,2007.0,21.0,https://xynphix.deviantart.com/art/70-AMX-58659661,https://img00.deviantart.net/839b/i/2015/127/9/a/70_amx_by_xynphix-dyxa31.jpg,DeviantArt,painting,modern,58659661,2017-11-23,2017-12-21,4156450,1,painting,f,"[u'#e2f5e5', u'#a5ab9e', u'#65c7a3', u'#243b39', u'#aee2cb', u'#827c71', u'#689087', u'#63a293', u'#627871', u'#4e5251', u'#386e65', u'#364a4a']",#a5ab9e,"[4009, 7637, 3303, 6147, 4742, 3908, 7216, 5149, 6044, 3326, 7442, 6613]"
1,80fa7733-e6c6-4398-b20a-eff2c5bef278,monument of pope leo xi,alessandro algardi,alessandro,algardi,1634.0,17.0,https://www.wga.hu/html/a/algardi/1/leo_xi.html,http://www.wga.hu/art/a/algardi/1/leo_xi.jpg,Web Gallery of Art '17,sculpture,Italia,290,2017-11-15,2018-06-19,290,1,sculpture,t,"[u'#d6cdc8', u'#b5aba7', u'#998f8b', u'#867974', u'#62514a', u'#493b34', u'#3e2d26', u'#79706f', u'#6e605d', u'#564a46', u'#322822', u'#221812']",#221812,"[3686, 5229, 6630, 5395, 4857, 6420, 5178, 4689, 6740, 4700, 5150, 6862]"
2,17e45c05-c224-4e18-9885-03a1beae62ea,crucifixion (detail),andrea da firenze,andrea da,firenze,1366.0,14.0,https://www.wga.hu/html/a/andrea/firenze/spanish/1north3.html,http://www.wga.hu/art/a/andrea/firenze/spanish/1north3.jpg,Web Gallery of Art '17,painting,Italia,522,2017-11-15,2018-06-19,522,1,painting,t,"[u'#a18b78', u'#866b58', u'#7c5340', u'#5b4b3f', u'#352f28', u'#2a1914', u'#110d0d', u'#e0d4c7', u'#c3b2a1', u'#533426', u'#141413', u'#0b0809']",#110d0d,"[6226, 6056, 4293, 6101, 5185, 5292, 6392, 3845, 5210, 5457, 5120, 6359]"
3,093cf203-734c-4828-bc94-391907932fee,faith,giuseppe angeli,giuseppe,angeli,1754.0,18.0,https://www.wga.hu/html/a/angeli/rocco2.html,http://www.wga.hu/art/a/angeli/rocco2.jpg,Web Gallery of Art '17,painting,Italia,733,2017-11-15,2018-06-19,733,1,painting,t,"[u'#000202', u'#a3754c', u'#935531', u'#1d130c', u'#cfd0a0', u'#c1a476', u'#bec093', u'#93a284', u'#65543d', u'#4d2a16', u'#000003', u'#000000']",#000000,"[1007, 4537, 4708, 4466, 4432, 2946, 4776, 4487, 5850, 7839, 537, 19951]"
4,fc0e311f-d85f-418c-b347-d5a9e0b81e8f,lamp post,williamsnape,williamsnape,williamsnape,2010.0,21.0,https://williamsnape.deviantart.com/art/Lamp-Post-153003687,https://orig00.deviantart.net/4bcc/f/2010/043/e/9/e9240147c1a74f3badb6eb2da8d37241.jpg,DeviantArt,painting,modern,153003687,2017-11-23,2017-12-21,4158023,1,painting,f,"[u'#cdada2', u'#987d71', u'#503b33', u'#311d1b', u'#233b49', u'#140f0d', u'#7a5c50', u'#794239', u'#4b221d', u'#241c1b', u'#1b1a18', u'#181412']",#233b49,"[4225, 4308, 4914, 6274, 6911, 6261, 6753, 4216, 4395, 6757, 4336, 6186]"
5,1360acff-c1d4-4f36-b792-244c93b85379,exterior view,english architect,english,architect,1090.0,11.0,https://www.wga.hu/html/zzzarchi/11c/4/11e_1051.html,http://www.wga.hu/art/zzzarchi/11c/4/11e_1051.jpg,Web Gallery of Art '17,architecture,"Great Britain, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, UK",1228,2017-11-15,2018-06-19,1228,1,photograph,t,"[u'#a6bdd9', u'#909987', u'#847d4e', u'#63573e', u'#363526', u'#1f2f26', u'#0d1b14', u'#e8f0fa', u'#c2d6f3', u'#b5a27e', u'#72684b', u'#464839']",#847d4e,"[6288, 1770, 7707, 5154, 5256, 4874, 7052, 4240, 4939, 7208, 4879, 6169]"
6,4b139f89-224c-4ee2-9de1-f529ab63891c,interior view,english architect,english,architect,1220.0,13.0,https://www.wga.hu/html/zzzarchi/13c/4/2salis21.html,http://www.wga.hu/art/zzzarchi/13c/4/2salis21.jpg,Web Gallery of Art '17,architecture,"Great Britain, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, UK",1289,2017-11-15,2018-06-19,1289,1,photograph,t,"[u'#b2ad9e', u'#b09975', u'#947e61', u'#474943', u'#403729', u'#c8cac4', u'#949690', u'#777469', u'#745c39', u'#605442', u'#362818', u'#151817']",#777469,"[4895, 3906, 6726, 5570, 6551, 3710, 5656, 7765, 4439, 5139, 4570, 6609]"
7,d8068c05-45ff-4940-952c-58b8dadc3beb,interior view,french architect,french,architect,1325.0,14.0,https://www.wga.hu/html/zzzarchi/14c/2/02f_1305.html,http://www.wga.hu/art/zzzarchi/14c/2/02f_1305.jpg,Web Gallery of Art '17,architecture,"France métropolitaine, France",1644,2017-11-15,2018-06-19,1644,1,photograph,t,"[u'#5f5746', u'#41453c', u'#1b271f', u'#131f16', u'#0e170d', u'#dad0bd', u'#a99c85', u'#8f7e63', u'#727069', u'#363225', u'#272c23', u'#031009']",#031009,"[7466, 7156, 3841, 5779, 5756, 3741, 4778, 3900, 4835, 5308, 4430, 8546]"
8,085fc860-ec88-42a8-9c68-41ed9e69f82f,exterior view,italian architect,italian,architect,1008.0,11.0,https://www.wga.hu/html/zzzarchi/11c/3/01i_1001.html,http://www.wga.hu/art/zzzarchi/11c/3/01i_1001.jpg,Web Gallery of Art '17,architecture,Italia,1918,2017-11-15,2018-06-19,1918,1,photograph,t,"[u'#f2fbf9', u'#7e6b4e', u'#715b40', u'#5e5340', u'#463928', u'#151b0f', u'#ebf8f7', u'#e1f2f5', u'#c4c6bb', u'#988463', u'#524633', u'#303023']",#e1f2f5,"[4396, 5547, 3922, 3921, 4142, 6591, 5374, 10478, 2753, 8710, 4546, 5156]"
9,50dc528f-a8f4-4501-9134-c7402aa6e73a,the one that got away,katiehofgard,katiehofgard,katiehofgard,2009.0,21.0,https://katiehofgard.deviantart.com/art/The-One-That-Got-Away-118294719,https://orig00.deviantart.net/165c/f/2009/096/5/5/55e698c3673d1fe6687c94f2012942d4.jpg,DeviantArt,painting,modern,118294719,2017-11-15,2017-12-21,4000367,1,painting,f,"[u'#ffffff', u'#fdfdfd', u'#fcfffe', u'#9d7957', u'#9a5f35', u'#e9dac5', u'#dab086', u'#d79e64', u'#c47e41', u'#be9870', u'#6a4a2d', u'#fffffc']",#ffffff,"[43399, 1136, 407, 2637, 2812, 679, 3585, 2514, 3000, 2283, 2342, 742]"
